sample_idx,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
1738,0.98687599999999998,-1.267844,1.557339,-0.94518500000000005,1.361443,-0.68495799999999996,0.432722,0.25307299999999999,-0.23910999999999999,0.144513,0.048170999999999999,-0.40421800000000002,0.48066399999999998,-0.70057499999999995,0.89386500000000002,-1.1172200000000001,-2.756532,-1.555777,-32.018386,28.401921000000002,-28.720960000000002
1739,0.99190999999999996,-1.2726329999999999,1.5602240000000001,-0.94416999999999995,1.3537859999999999,-0.67569699999999999,0.41914800000000002,0.25307299999999999,-0.23736499999999999,0.14241899999999999,0.052359999999999997,-0.38536900000000002,0.44505899999999998,-0.689056,1.529328,-1.3938919999999999,-2.3749400000000001,0.78839899999999996,-9.5691310000000005,-37.240541999999998,-0.092161000000000007
1740,0.99692700000000001,-1.2773840000000001,1.563008,-0.94306100000000004,1.345942,-0.66625699999999999,0.40545100000000001,0.25045499999999998,-0.235619,0.137183,0.053407000000000003,-0.39269900000000002,0.49951299999999998,-0.684867,-1.047531,3.3851420000000001,-3.9198680000000001,-2.1774140000000002,-7.4950770000000002,30.367426999999999,17.894836999999999
1741,1.001911,-1.282073,1.5656760000000001,-0.94188099999999997,1.3378989999999999,-0.65671999999999997,0.39164900000000002,0.25307299999999999,-0.238237,0.132994,0.060736999999999999,-0.42516199999999998,0.49532399999999999,-0.697434,0.55405000000000004,-3.998761,2.962151,1.459244,-29.405339000000001,23.122678000000001,6.915502
1742,1.0068859999999999,-1.2867189999999999,1.5682769999999999,-0.94059099999999995,1.3296600000000001,-0.647061,0.37774200000000002,0.24521899999999999,-0.22863800000000001,0.125664,0.070162000000000002,-0.40945399999999998,0.481711,-0.71733000000000002,-3.4718360000000001,1.954907,1.154587,2.4624899999999998,15.912523,-7.6698589999999998,-20.122540000000001
1743,1.011857,-1.2913190000000001,1.5707660000000001,-0.93920199999999998,1.3212360000000001,-0.63724800000000004,0.363763,0.24870900000000001,-0.22951099999999999,0.116239,0.069114999999999996,-0.43772899999999998,0.489041,-0.70267000000000002,2.9226549999999998,1.882201,-6.484839,-0.21176800000000001,-21.142175999999999,-6.8506280000000004,-16.948515
1744,1.0168060000000001,-1.2958730000000001,1.5731569999999999,-0.93776099999999996,1.3126230000000001,-0.62731400000000004,0.34967599999999999,0.25132700000000002,-0.22078400000000001,0.12252200000000001,0.072257000000000002,-0.42830400000000002,0.50370199999999998,-0.68591400000000002,3.9668809999999999,3.3492410000000001,1.9271579999999999,-2.0945900000000002,4.4459179999999998,9.9575279999999999,27.899971000000001
1745,1.021749,-1.300389,1.5754250000000001,-0.93615300000000001,1.30383,-0.61727399999999999,0.33548600000000001,0.247837,-0.22602,0.10681400000000001,0.081681000000000004,-0.430398,0.52778800000000003,-0.73199099999999995,3.0135130000000001,-1.567812,-2.2941850000000001,0.30487399999999998,15.535328,34.110456999999997,-25.716794
1746,1.026656,-1.304845,1.5776129999999999,-0.93452400000000002,1.294821,-0.60710600000000003,0.32122899999999999,0.24434600000000001,-0.219911,0.107861,0.081681000000000004,-0.46286100000000002,0.49323,-0.69429200000000002,1.3999109999999999,-0.63278999999999996,1.1209260000000001,-0.97298600000000002,-11.222913,-23.601012000000001,25.996497000000002
1747,1.0315669999999999,-1.309267,1.5797019999999999,-0.93272699999999997,1.285628,-0.59680699999999998,0.30687999999999999,0.24696399999999999,-0.219911,0.098436999999999997,0.091106000000000006,-0.47438000000000002,0.52988199999999996,-0.72570800000000002,1.24309,0.061172999999999998,-1.4775700000000001,1.408795,-16.402426999999999,19.217355999999999,-18.374414999999999
1748,1.0364370000000001,-1.313625,1.5816889999999999,-0.93092799999999998,1.276278,-0.58641699999999997,0.292462,0.246091,-0.216421,0.094247999999999998,0.093201000000000006,-0.45972000000000002,0.50056,-0.74036900000000005,3.2035710000000002,-0.47819600000000001,-0.60129900000000003,-2.3474059999999999,15.744270999999999,-33.402316999999996,-3.6628159999999998
