sample_idx,tau1_meas,tau1_urdf,err1,tau2_meas,tau2_urdf,err2,tau3_meas,tau3_urdf,err3,tau4_meas,tau4_urdf,err4,tau5_meas,tau5_urdf,err5,tau6_meas,tau6_urdf,err6,tau7_meas,tau7_urdf,err7
952,108.0,0.5281248802759879,107.47187511972402,-27.521178,-27.7176597103018,0.19648171030179995,0.324521,0.33697634502989326,-0.012455345029893261,-5.80653,-5.847549469408584,0.041019469408583475,-0.026074,-0.09681340734895474,0.07073940734895474,10.915329,-1.0977297016150125,12.013058701615012,0.547251,-0.4025923105917228,0.9498433105917228
953,108.0,0.7501693589034134,107.24983064109658,-25.0954,-25.627607170370947,0.5322071703709454,0.858832,0.7406598642065055,0.1181721357934945,-7.612428,-7.548548622683841,-0.06387937731615967,-0.317269,-0.38019004659207367,0.06292104659207365,10.020286,-1.2940217381300778,11.31430773813008,0.61757,-0.38404279918543277,1.0016127991854327
954,108.0,1.318060595884334,106.68193940411567,-29.379938,-28.039715206366186,-1.3402227936338136,0.067402,0.9805615820810702,-0.9131595820810703,1.577455,1.6799987614205105,-0.10254376142051047,1.242973,2.2164078927415587,-0.9734348927415586,2.417119,-3.4864295302680985,5.903548530268099,0.975721,0.10294707083513777,0.8727739291648622
955,108.0,1.0102812128314718,106.98971878716853,-26.242856,-25.31302438914199,-0.9298316108580096,0.325201,0.6578368048356446,-0.33263580483564453,-6.650262,-6.87734095540345,0.22707895540345024,-0.169388,0.23319712751506103,-0.40258512751506104,11.011857,-0.9827704995166507,11.99462749951665,1.398824,2.6691896735338836,-1.2703656735338835
956,108.0,1.00686637480712,106.99313362519288,-26.113063,-25.193007388099737,-0.9200556119002634,0.332994,0.6672619118623944,-0.33426791186239435,-6.662038,-6.887893174493313,0.22585517449331327,-0.171883,0.2342322929321133,-0.40611529293211335,10.9527,-0.9592616621916498,11.91196166219165,1.432014,2.664746502437286,-1.2327325024372862
957,108.0,-0.5805323964025283,108.58053239640253,-28.180835,-29.013842130946255,0.8330071309462568,-0.169866,-1.0162958133588875,0.8464298133588876,-5.842189,-6.6373141142160925,0.7951251142160922,0.046864,-1.31386804283512,1.36073204283512,12.588986,9.147334083347872,3.4416519166521287,1.182187,-0.26388730016009565,1.4460743001600957
958,108.0,1.9776171341137738,106.02238286588623,-21.554492,-22.666377274808866,1.1118852748088663,2.594881,2.637079374998645,-0.04219837499864498,-8.385821,-7.651659016154921,-0.7341619838450786,-0.87434,-0.40172354448038616,-0.47261645551961384,7.376345,-6.559429107276316,13.935774107276316,-1.207528,-1.3641450151192287,0.15661701511922876
959,108.0,0.8184489249542037,107.1815510750458,-24.596534,-26.208271454899062,1.611737454899064,1.729741,1.2164994983885136,0.5132415016114864,-8.224723,-7.9989252516584655,-0.22579774834153366,-0.904135,-1.407445482349841,0.503310482349841,11.233633,-0.7015302480043386,11.935163248004338,-1.197456,-1.8088223214832957,0.6113663214832956
960,108.0,0.556182540403645,107.44381745959636,-26.735038,-26.915046888151167,0.18000888815116767,0.385144,0.38195059884004334,0.0031934011599566436,-4.868002,-4.9421842858629965,0.0741822858629968,0.215503,0.14346832050734545,0.07203467949265455,9.710242,0.015172261627138736,9.69506973837286,0.600277,-0.5289795578320595,1.1292565578320595
961,108.0,0.414668669079529,107.58533133092047,-26.248493,-26.591125093713064,0.342632093713064,0.331293,0.23563691049616356,0.09565608950383644,-5.835572,-5.911407362758615,0.0758353627586148,0.119227,-0.0424451238512724,0.1616721238512724,10.457784,0.21814273808426812,10.239641261915732,0.47437,-0.6197081209561001,1.0940781209561001
962,108.0,0.8192841637738597,107.18071583622614,-26.000342,-27.442184636752135,1.4418426367521349,1.582303,1.127992832012519,0.45431016798748103,-5.528216,-5.35699879380284,-0.1712172061971593,-0.42579,-0.9347123609144664,0.5089223609144664,9.9844,0.25332872931011596,9.731071270689885,-1.847096,-2.341471725247926,0.49437572524792595
963,108.0,0.9857535751061135,107.01424642489388,-25.091324,-24.93691666605,-0.15440733395000095,0.874538,0.8928374424541313,-0.018299442454131287,-6.811795,-6.979635526376575,0.1678405263765752,-0.241383,-0.1641748962270044,-0.07720810377299558,10.786934,0.3411180973934662,10.445815902606535,-0.359049,1.3830604031507476,-1.7421094031507476
964,108.0,0.9429946941964213,107.05700530580359,-25.450601,-26.150291910525926,0.699690910525927,1.296399,1.0693667027966278,0.22703229720337226,-5.989047,-5.960546198048895,-0.028500801951104826,-0.333037,-0.5498982644841546,0.21686126448415455,10.202646,0.2556020500919583,9.947043949908041,-1.388903,-0.6265712058979952,-0.7623317941020048
965,108.0,0.7678974324358995,107.2321025675641,-25.736995,-27.056269587802923,1.3192745878029228,1.331097,0.98500307082421,0.34609392917578996,-5.5167,-5.278457168791763,-0.23824283120823697,-0.286463,-0.6458888254997582,0.3594258254997582,9.803488,-0.6767903491692435,10.480278349169243,-1.899632,-2.4433449102878337,0.5437129102878338
966,108.0,0.45502417393537364,107.54497582606463,-26.716235,-25.80495359903655,-0.9112814009634498,-0.297406,0.019970449995542705,-0.3173764499955427,-5.489893,-5.843961230987752,0.3540682309877514,0.405916,0.6681947182821982,-0.26227871828219823,10.879024,0.4655833422816603,10.41344065771834,0.562081,1.8721407933660879,-1.3100597933660878
967,108.0,1.0222128959850316,106.97778710401496,-25.515434,-25.805813063004546,0.2903790630045471,1.108354,1.0504995749146318,0.05785442508536831,-6.291256,-6.285718662924939,-0.005537337075060655,-0.218614,-0.21412030053553427,-0.0044936994644657335,10.652129,-0.6260310395008797,11.27816003950088,-2.037432,0.047861276836671,-2.085293276836671
968,108.0,0.9054456293412837,107.09455437065871,-25.547281,-25.815048960655503,0.267767960655501,0.941992,0.8966935063404446,0.045298493659555406,-6.260954,-6.2678552597956685,0.0069012597956685795,-0.166563,-0.16525731144252484,-0.0013056885574751487,10.801221,-0.5617262698873577,11.362947269887357,-1.89795,0.007862890831478174,-1.9058128908314782
969,108.0,0.8044467374205748,107.19555326257942,-25.368657,-25.645886680867058,0.2772296808670589,0.81222,0.7777298982035429,0.03449010179645717,-6.30624,-6.310070272019967,0.003830272019967218,-0.168959,-0.16728872545830545,-0.0016702745416945497,10.786973,-0.5356988565083602,11.32267185650836,-1.789263,-0.01933810328791451,-1.7699248967120855
970,108.0,0.6350229445543023,107.36497705544569,-25.561507,-25.907496875832795,0.34598987583279595,0.723516,0.5887115766987409,0.1348044233012592,-6.171599,-6.260521532307223,0.08892253230722336,-0.144813,-0.2950253727660822,0.1502123727660822,11.108503,0.6544379565109708,10.45406504348903,-0.684689,-0.03789954310603475,-0.6467894568939653
971,108.0,1.2804081493339907,106.719591850666,-24.856176,-26.39819911273617,1.5420231127361674,2.163453,1.6318909856462134,0.5315620143537867,-6.510177,-6.249558957736455,-0.2606180422635447,-0.779368,-1.2389873525059425,0.45961935250594255,10.996668,-0.2717489539190728,11.268416953919072,-0.986476,-1.8259931861383207,0.8395171861383207
